Year,Manufacturer,Region,MilesDriven,FuelType,SellerType,TransmissionType,PrevOwnerCount,SeatCount,MPG,Power(bhp),EnginePower(CC),SellingPrice($)
2010,3,2,55923.39,1,0,1,2,5,47.04,68.0,1399,170000
2018,2,1,21747.985,1,0,1,1,7,33.49,174.5,2755,3000000
2012,1,1,24854.84,0,1,1,1,5,43.51,86.8,1198,325000
2019,9,3,6213.71,0,1,1,1,5,39.99,73.75,1198,640000
2012,11,1,5592.339,0,1,1,1,5,39.87,97.7,1498,450000
2013,2,1,43495.97,1,1,1,2,5,55.49,67.06,1364,400000
2008,2,1,49709.68,1,0,1,4,7,30.11,102.0,2494,325000
2013,6,3,15534.275,1,0,0,1,5,34.91,170.0,2143,1550000
2013,11,1,74564.52,1,0,1,1,5,54.29,63.1,1461,250000
2016,9,3,43495.97,0,0,0,1,5,38.43,189.3,1798,800000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2009,1,1,74564.52,0,0,0,2,5,26.11,158.8,2354,500000
2005,2,1,149129.04,1,0,1,3,8,30.11,102.0,2494,250000
2018,1,1,621.371,0,0,0,1,5,42.34,117.6,1497,1085000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2019,1,1,24854.84,1,0,0,1,5,55.98,78.9,1498,700000
2015,2,1,74564.52,1,0,1,2,7,30.55,100.6,2494,840000
2013,2,1,41631.857,1,0,1,1,5,55.49,67.1,1364,450000
2008,2,1,83263.714,1,0,1,2,7,30.11,102.0,2494,570000
2011,11,1,68350.81,1,0,1,2,5,54.29,63.1,1461,254999
2015,9,3,68350.81,1,0,1,2,5,47.37,88.8,1498,520000
2015,3,2,43495.97,1,0,1,1,5,47.04,68.05,1399,292000
2016,3,2,27340.324,0,0,1,1,5,42.71,86.8,1196,550000
2018,3,2,18641.13,1,0,1,1,5,54.1,98.96,1498,950000
2019,1,1,24854.84,1,0,0,1,5,55.98,78.9,1498,700000
2015,11,1,55923.39,1,0,1,1,5,48.1,83.8,1461,580000
2012,2,1,155342.75,1,0,1,1,7,30.55,100.0,2494,730000
2015,2,1,74564.52,1,0,1,1,7,30.55,100.6,2494,1050000
2016,4,2,68350.81,1,0,1,2,7,42.81,73.74,1248,420000
2015,2,1,37282.26,1,0,0,1,7,29.52,168.5,2982,2000000
2015,2,1,80778.23,1,0,0,1,7,29.52,168.5,2982,1900000
2011,4,2,61826.4145,1,0,1,3,7,27.05,147.9,1991,500000
2016,11,1,21747.985,0,0,1,1,5,45.84,67.04,1198,370000
2013,3,2,37282.26,1,0,1,2,5,55.28,90.0,1498,300000
2016,1,1,13670.162,0,0,1,1,5,43.51,86.8,1198,425000
2011,9,3,43495.97,1,0,1,2,5,48.31,103.6,1598,250000
2013,4,2,43495.97,0,0,1,2,5,43.75,79.4,1199,170000
2013,2,1,27961.695,1,0,1,1,5,55.49,67.06,1364,409999
2007,1,1,55923.39,0,0,0,1,5,30.34,130.0,1799,350000
2013,4,2,31068.55,1,0,1,1,5,59.84,57.6,936,300000
2012,4,2,43495.97,1,0,1,2,5,59.84,57.6,936,220000
2012,3,2,52816.535,0,0,1,2,5,36.69,70.0,1196,300000
2015,4,2,31068.55,0,0,1,1,5,43.75,76.8,1199,200000
2016,4,2,18641.13,0,0,1,1,5,42.81,82.4,1199,400000
2018,5,2,8699.194,1,0,1,1,5,40.22,170.0,1956,1600000
2015,1,1,13670.162,0,0,1,1,5,40.93,117.3,1497,900000
2012,9,3,55923.39,1,0,1,1,5,48.31,103.6,1598,450000
2015,4,2,49709.68,0,0,1,1,5,42.81,82.4,1199,220000
2013,3,2,43495.97,1,0,1,2,5,46.29,67.0,1399,200000
2013,2,1,118060.49,1,0,1,1,8,30.55,100.6,2494,1000000
2016,2,1,18641.13,1,0,0,1,7,26.72,171.5,2755,1800000
2016,1,1,18641.13,0,0,1,1,5,43.99,88.7,1199,484999
2017,1,1,26718.953,0,1,1,1,7,36.22,117.3,1497,700000
2015,11,1,31068.55,0,0,0,1,5,45.49,76.0,1198,325000
2018,3,2,8823.4682,0,0,1,1,5,42.71,86.8,1196,550000
2018,3,2,11868.1861,0,0,1,1,5,44.69,94.68,1194,700000
2014,3,2,33554.034,1,1,1,1,5,54.1,98.96,1498,484999
2018,11,1,21747.985,1,0,1,1,5,53.42,84.8,1461,670000
2017,5,2,31068.55,1,0,1,1,5,40.22,170.0,1956,1650000
2013,3,2,43495.97,1,0,1,2,5,47.04,68.1,1399,245000
2009,2,1,105633.07,1,0,1,3,8,30.11,102.0,2494,561000
2013,7,1,112773.244161,1,1,1,1,7,31.75,175.56,2477,950000
2016,4,2,33130.880349,1,1,1,1,5,59.84,56.3,936,375000
2017,9,3,25417.802126,1,1,1,1,5,50.95,108.62,1498,700000
2012,2,1,19704.295781,0,1,1,2,5,41.4,88.7,1496,375000
2015,2,1,58648.101835,1,1,1,1,8,30.55,100.6,2494,1350000
2013,1,1,72143.658584,1,1,1,1,5,60.69,98.6,1498,500000
2013,2,1,92037.47252,1,1,1,1,7,33.49,174.5,2755,1500000
2015,3,2,12427.42,0,0,1,2,5,37.16,110.0,1499,555000
2012,3,2,43495.97,1,0,1,2,5,47.04,68.0,1399,300000
2004,1,1,62137.1,0,0,0,2,5,21.17,218.0,2997,275000
2016,3,2,77671.375,1,0,1,1,5,53.56,98.59,1498,650000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2013,14,3,55923.39,1,0,1,1,5,47.75,92.0,1248,400000
2019,3,2,18641.13,1,0,1,3,5,54.1,98.96,1498,800000
2018,2,1,15534.275,0,0,0,1,5,41.87,105.5,1496,1100000
2016,6,3,24854.84,1,0,0,1,5,30.58,204.0,2143,3000000
2012,2,1,99419.36,1,0,0,1,7,27.05,169.0,2982,1225000
2011,9,3,44738.712,1,0,1,2,5,48.31,103.6,1598,300000
2016,3,2,37282.26,0,0,1,1,5,42.71,86.8,1196,370000
2014,11,1,56544.761,1,0,1,4,5,53.42,84.8,1461,320000
2014,4,2,55923.39,1,0,1,2,9,31.94,72.4,2499,600000
2007,1,1,43495.97,0,0,0,2,5,23.76,152.0,2354,325000
2011,11,1,15534.275,0,0,1,2,5,39.87,97.7,1498,350000
2019,3,2,3728.226,0,0,1,1,5,44.69,94.68,1194,700000
2014,2,1,31068.55,1,0,1,1,7,30.55,100.6,2494,750000
2014,9,3,37282.26,1,0,1,2,5,47.37,88.8,1498,350000
2010,4,2,42253.228,0,0,1,4,5,43.75,79.4,1199,150000
2008,2,1,78292.746,1,0,1,3,8,30.11,102.0,2494,290000
2017,3,2,49709.68,0,0,1,1,5,42.71,86.8,1196,565000
2010,9,3,49709.68,1,0,1,4,5,51.91,73.9,1199,275000
2010,14,3,49709.68,1,0,1,2,5,47.98,91.2,1248,200000
2017,1,1,49709.68,0,0,1,1,5,41.87,86.7,1198,490000
2013,3,2,68350.81,1,0,0,3,7,30.11,156.0,2953,1075000
2019,3,2,6213.71,0,0,1,1,5,44.69,94.68,1194,681000
2008,4,2,43495.97,0,0,1,2,5,35.89,74.9,1150,80000
2019,3,2,6213.71,0,0,1,1,5,44.69,94.68,1194,720000
2009,1,1,65243.955,0,0,0,2,5,30.34,130.0,1799,250000
2016,4,2,37282.26,1,0,1,2,10,28.7,105.3,1994,409999
2016,4,2,43495.97,1,0,1,1,7,42.81,73.74,1248,420000
2008,1,1,43495.97,0,0,1,3,5,41.63,78.0,1497,150000
2019,1,1,6213.71,1,0,1,1,5,64.45,98.63,1498,800000
2016,1,1,43495.97,1,0,1,2,5,60.69,98.6,1498,500000
2014,2,1,54680.648,1,0,1,2,7,30.55,100.6,2494,1019999
2015,3,2,49709.68,1,0,1,1,5,53.56,98.59,1498,615000
2011,3,2,43495.97,0,0,1,2,5,39.05,68.0,1388,200000
2013,4,2,28583.066,0,0,1,1,5,42.81,84.8,1199,229999
2015,2,1,37282.26,1,0,1,1,5,50.41,87.2,1364,1050000
2012,3,2,39767.744,1,0,1,2,5,41.87,67.0,1399,300000
2012,4,2,43495.97,1,0,1,2,5,59.84,57.6,936,200000
2015,4,2,24854.84,0,0,1,1,5,42.81,82.4,1199,371000
2009,3,2,62137.1,1,0,1,4,5,41.63,68.0,1399,150000
2010,3,2,68350.81,1,0,1,2,5,47.04,68.0,1399,180000
2017,1,1,24854.84,1,0,1,1,5,59.98,98.6,1498,900000
2006,1,1,68350.81,0,0,1,2,5,41.63,78.0,1497,165000
2011,3,2,55923.39,1,0,1,2,5,47.04,68.0,1399,190000
2009,2,1,124274.2,1,0,1,3,7,30.11,102.0,2494,395000
2010,2,1,77671.375,1,0,1,2,7,27.05,171.0,2982,800000
2014,8,3,27340.324,1,0,0,2,5,38.93,147.51,1968,1600000
2013,2,1,55923.39,1,0,1,1,5,55.49,67.04,1364,409999
2013,2,1,59030.245,1,0,1,2,7,30.55,100.57,2494,600000
2015,1,1,99419.36,1,0,1,1,5,59.04,98.6,1498,750000
2012,4,2,68350.81,1,0,1,1,5,59.84,57.6,936,150000
2015,4,2,34175.405,1,0,1,1,5,59.84,56.3,936,240000
2011,3,2,56171.9384,1,0,1,1,5,47.04,68.0,1399,175000
2008,2,1,120311.717133,1,0,1,2,8,30.11,102.0,2494,330000
2013,2,1,68350.81,1,0,1,2,7,30.55,100.0,2494,910000
2012,2,1,93827.02100000001,1,0,1,1,8,30.11,102.0,2494,1100000
2012,9,3,24854.84,1,0,1,1,5,48.31,103.6,1598,350000
2018,2,1,6213.71,1,0,0,1,7,26.72,171.5,2755,1745000
2016,1,1,42253.228,0,0,1,1,5,45.63,86.8,1198,400000
2013,4,2,40389.115,1,0,1,1,5,51.98,76.9,1248,300000
2013,9,3,49709.68,1,0,1,3,5,51.91,73.9,1199,350000
2009,4,2,74564.52,0,0,1,3,5,42.34,62.0,995,95000
2013,4,2,55923.39,1,0,1,1,9,31.94,72.4,2499,600000
2013,2,1,74564.52,1,0,1,2,8,30.55,100.57,2494,850000
2015,2,1,71064.958528,1,1,1,2,7,30.55,100.6,2494,1325000
2012,3,2,49703.466290000004,1,1,1,2,5,41.87,67.0,1399,350000
2012,3,2,50723.757472,1,1,1,1,5,47.04,68.0,1399,425000
2016,3,2,96437.400571,1,1,1,1,5,61.39,99.23,1498,600000
2014,3,2,63071.641984,1,1,1,1,5,53.39,89.84,1498,750000
2012,3,2,56025.916215,1,1,1,1,5,41.87,67.0,1399,450000
2010,3,2,53448.469307,1,1,1,2,5,59.98,99.23,1498,325000
2013,3,2,78001.323001,1,1,1,2,5,53.56,98.59,1498,600000
2008,1,1,74564.52,0,0,1,2,5,39.99,118.0,1497,229999
2011,3,2,68350.81,1,0,1,3,5,41.87,68.0,1399,300000
2011,4,2,105633.07,1,0,1,4,5,38.86,123.7,1991,272000
2011,9,3,49709.68,1,0,1,2,5,51.91,73.9,1199,388000
2015,1,1,43495.97,1,0,1,3,5,59.04,98.6,1498,760000
2011,2,1,37282.26,1,0,1,1,7,30.11,102.0,2494,800000
2014,2,1,93205.65,1,0,1,1,7,30.58,168.5,2982,1380000
2016,1,1,62137.1,1,0,1,2,7,56.92,98.6,1498,450000
2007,2,1,49709.68,1,0,1,2,7,30.11,102.0,2494,626000
2017,1,1,9320.565,0,0,0,1,7,36.22,117.3,1497,950000
2018,3,2,18641.13,1,0,1,1,5,60.76,99.0,1498,793000
2017,1,1,4069.98005,0,0,0,1,5,42.81,88.7,1199,725000
2013,10,3,34796.776,1,1,0,1,4,26.34,241.0,2993,3750000
2016,1,1,33554.034,0,1,1,1,5,43.99,88.7,1199,625000
2016,6,3,19262.501,1,1,0,1,5,30.58,204.0,2143,2900000
2011,4,2,55923.39,1,0,0,2,4,42.57,147.9,1991,440000
2018,2,1,8409.635114,0,1,1,1,5,33.59,138.03,1798,1400000
2017,2,1,4349.597,0,1,0,2,5,34.18,138.1,1794,1450000
2017,6,3,14291.533,1,1,0,1,5,42.1,136.0,2143,2700000
2019,2,1,26718.953,1,1,0,1,8,26.72,171.5,2755,1925000
2015,1,1,18641.13,0,1,1,1,5,43.99,88.7,1199,610000
2018,2,1,62137.1,1,1,0,1,7,30.34,174.5,2755,2940000
2016,2,1,58408.874,1,1,0,1,7,26.72,171.5,2755,1825000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2017,13,3,5592.339,1,1,0,1,5,31.99,177.0,1999,2625000
2019,12,3,12427.42,0,1,0,1,5,52.62,214.56,2487,5150000
2017,13,3,27961.695,1,1,0,1,5,45.47,177.0,1999,3200000
2019,10,3,4660.2825,1,1,0,1,5,39.47,190.0,1995,5400000
2019,10,3,5281.6535,1,1,0,1,5,39.47,190.0,1995,5500000
2010,4,2,114953.635,1,0,1,1,7,34.81,80.0,2499,270000
2015,4,2,49709.68,1,0,1,2,5,51.98,74.0,1248,480000
2017,3,2,3106.855,0,0,1,1,5,42.71,86.8,1196,650000
2014,4,2,43495.97,1,0,1,2,9,31.94,72.4,2499,575000
2009,4,2,31068.55,0,0,1,2,5,37.63,63.0,995,90000
2012,3,2,37282.26,1,0,1,1,5,47.04,68.0,1399,280000
2013,2,1,68350.81,1,0,1,2,8,30.55,100.0,2494,850000
2010,3,2,62137.1,1,0,1,2,5,47.04,68.0,1399,210000
2014,2,1,74564.52,1,0,1,1,7,30.55,100.6,2494,750000
2006,4,2,58408.874,0,0,1,2,5,40.93,104.0,1599,190000
2012,4,2,68350.81,0,0,1,1,5,38.1,62.1,995,130000
2014,4,2,14291.533,0,0,1,1,5,42.81,82.4,1199,330000
2017,1,1,74564.52,0,0,1,1,7,36.22,117.3,1497,595000
2012,6,3,31068.55,1,0,0,1,5,34.91,170.0,2143,1400000
2010,2,1,134216.136,1,0,1,1,8,30.11,102.0,2494,550000
2012,2,1,130487.91,1,0,1,1,7,30.55,100.0,2494,730000
2010,4,2,37282.26,0,0,1,1,5,35.89,74.9,1150,125000
2002,1,1,100040.731,0,0,1,4,5,30.58,100.0,1493,81000
2016,1,1,44808.926923,1,0,1,1,7,51.51,98.6,1498,850000
2006,3,2,37282.26,0,0,1,2,5,39.05,68.0,1388,140000
2011,9,3,42874.599,1,0,1,2,5,48.31,103.6,1598,375000
2010,4,2,46602.825,0,0,1,1,5,43.75,79.4,1199,140000
2015,3,2,55923.39,1,0,1,1,5,53.56,98.59,1498,600000
2011,3,2,62137.1,1,0,1,2,5,47.04,68.0,1399,204999
2011,14,3,124274.2,1,0,1,1,5,48.22,91.7,1248,280000
2009,4,2,49709.68,0,0,1,2,5,30.34,102.5,1598,250000
2009,1,1,62137.1,0,0,0,2,5,27.52,177.6,2354,400000
2011,1,1,55923.39,0,0,1,2,5,39.99,118.0,1497,375000
2016,4,2,37282.26,1,0,1,2,5,51.98,74.0,1248,250000
2012,3,2,64933.2695,1,0,1,2,5,47.04,68.0,1399,200000
2018,3,2,18641.13,1,0,1,1,5,54.1,98.96,1498,950000
2008,1,1,55923.39,0,0,1,3,5,31.75,130.0,1799,375000
2014,11,1,55923.39,1,0,1,1,5,48.1,83.8,1461,472000
2013,2,1,68350.81,1,0,1,1,8,30.55,100.6,2494,819999
2013,3,2,30510.558842,0,1,1,2,5,44.41,123.37,999,429000
2012,4,2,55923.39,1,0,1,1,5,59.84,57.6,936,170000
2014,1,1,20525.748243000002,0,1,1,1,5,45.63,86.8,1198,335000
2011,9,3,74564.52,1,0,1,3,5,48.31,103.6,1598,260000
2013,9,3,62137.1,1,0,1,3,5,48.31,103.6,1598,330000
2018,2,1,43495.97,1,0,1,1,7,32.18,147.8,2393,1576000
2018,1,1,5328.8776960000005,0,1,1,1,5,43.99,88.7,1199,680000
2016,1,1,13325.922466,0,1,1,1,5,39.52,116.3,1497,825000
2009,1,1,33734.23159,0,1,1,1,5,39.99,118.0,1497,350000
2016,1,1,1316.063778,0,1,1,1,5,45.63,86.8,1198,475000
2010,1,1,36377.543824,0,1,1,2,5,40.93,117.3,1497,350000
2017,3,2,39756.559322,1,1,1,1,5,53.39,89.84,1498,850000
2014,1,1,44738.712,1,1,1,1,5,61.16,98.6,1498,560000
2016,11,1,35313.756672,1,1,1,1,5,46.74,83.14,1461,495000
2013,1,1,40566.205735,1,1,1,1,5,58.1,98.63,1498,350000
2020,2,1,12490.799842,1,1,1,1,8,32.18,147.51,2393,1560000
2015,1,1,26718.953,0,1,1,1,5,43.99,88.7,1199,480000
2013,2,1,32547.41298,1,1,1,1,5,55.49,67.04,1364,270000
2011,11,1,29204.437,0,0,1,2,5,39.87,97.7,1498,350000
2011,3,2,49709.68,1,0,1,3,5,41.87,68.0,1399,170000
2011,11,1,68350.81,0,0,1,1,5,39.87,97.7,1498,250000
2010,14,3,110604.038,1,0,1,2,5,47.98,91.7,1248,190000
2017,5,2,43495.97,1,0,1,1,5,38.34,170.0,1956,1950000
2011,8,3,74564.52,1,0,0,1,5,30.11,167.6,1968,1300000
2010,2,1,96312.505,1,0,1,3,8,30.11,102.0,2494,786000
2012,9,3,43495.97,1,0,1,4,5,51.91,73.9,1199,229999
2013,3,2,62137.1,1,0,1,1,5,47.04,68.1,1399,240000
2011,2,1,74564.52,0,0,1,3,5,41.4,88.7,1496,300000
2017,3,2,21747.985,1,0,1,1,5,60.76,99.0,1498,700000
2017,1,1,40389.115,1,0,1,2,5,59.98,98.6,1498,770000
2007,1,1,55923.39,0,0,1,3,5,31.75,130.0,1799,245000
2013,1,1,26384.655402,0,1,1,1,5,39.52,116.3,1497,480000
2016,1,1,18641.13,1,0,1,1,5,64.21,98.6,1498,500000
2011,10,3,26436.229195,1,1,0,1,5,46.15,190.0,1998,1075000
2013,3,2,29825.808,1,1,1,2,5,51.04,98.96,1498,475000
2014,1,1,16921.796443,1,1,1,1,5,64.45,98.63,1498,465000
2006,1,1,49709.68,0,0,1,2,5,41.63,78.0,1497,93150
2010,3,2,31068.55,1,0,1,2,5,47.04,68.0,1399,144000
2014,4,2,23612.098,1,0,1,1,5,51.98,74.0,1248,260000
2015,2,1,74564.52,1,0,1,1,5,55.49,67.05,1364,475000
2011,3,2,64001.213,1,0,1,3,5,47.04,68.0,1399,302000
2014,14,3,88545.36750000001,1,0,1,1,5,45.87,75.0,1248,325000
2013,1,1,55923.39,1,0,1,3,5,60.69,98.6,1498,250000
2010,1,1,68350.81,0,0,0,3,5,36.69,116.3,1497,409999
2013,9,3,23612.098,1,0,1,1,5,51.91,73.9,1199,550000
2011,2,1,68350.81,1,0,1,1,8,30.11,102.0,2494,900000
2016,1,1,57166.132,1,0,1,1,7,51.51,98.6,1498,900000
2018,3,2,7456.452,1,0,0,1,7,25.66,197.0,3198,3250000
2019,1,1,2796.1695,0,0,1,1,5,45.87,88.76,1199,700000
2015,1,1,49709.68,0,0,0,1,5,44.69,88.7,1199,600000
2012,1,1,51573.793,0,0,1,1,5,39.52,116.3,1497,550000
2018,2,1,30447.179,1,0,0,1,7,30.34,174.5,2755,2900000
2017,1,1,4194.25425,0,0,1,1,5,43.51,86.8,1198,450000
2016,3,2,31365.565338,0,0,1,1,5,37.28,110.4,1499,670000
2019,1,1,809.646413,0,1,1,1,5,41.87,86.7,1198,690000
